user_id,timestamp,cctv_location
user-59,2024-01-02T09:03:18,CCTV-3
user-76,2024-01-02T09:03:21,CCTV-1
user-87,2024-01-02T09:03:23,CCTV-3
user-76,2024-01-02T09:03:24,CCTV-9
user-46,2024-01-02T09:03:26,CCTV-12
user-63,2024-01-02T09:03:28,CCTV-10
user-26,2024-01-02T09:03:30,CCTV-4
user-88,2024-01-02T09:03:32,CCTV-2
user-98,2024-01-02T09:03:35,CCTV-15
user-10,2024-01-02T09:03:38,CCTV-8
user-17,2024-01-02T09:03:40,CCTV-5
user-74,2024-01-02T09:03:41,CCTV-14
user-65,2024-01-02T09:03:42,CCTV-3
user-24,2024-01-02T09:03:44,CCTV-14
user-70,2024-01-02T09:03:46,CCTV-1
user-55,2024-01-02T09:03:48,CCTV-6
user-33,2024-01-02T09:03:51,CCTV-13
user-19,2024-01-02T09:03:54,CCTV-3
user-80,2024-01-02T09:03:55,CCTV-14
user-58,2024-01-02T09:03:57,CCTV-2
user-90,2024-01-02T09:03:58,CCTV-13
user-97,2024-01-02T09:04:00,CCTV-10
user-16,2024-01-02T09:04:03,CCTV-12
user-72,2024-01-02T09:04:05,CCTV-11
user-63,2024-01-02T09:04:07,CCTV-7
user-82,2024-01-02T09:04:08,CCTV-14
user-84,2024-01-02T09:04:09,CCTV-13
user-6,2024-01-02T09:04:11,CCTV-15
user-45,2024-01-02T09:04:13,CCTV-8
user-18,2024-01-02T09:04:15,CCTV-7
user-95,2024-01-02T09:04:16,CCTV-2
user-68,2024-01-02T09:04:17,CCTV-4
user-64,2024-01-02T09:04:19,CCTV-10
user-74,2024-01-02T09:04:20,CCTV-6
user-46,2024-01-02T09:04:21,CCTV-1
user-11,2024-01-02T09:04:24,CCTV-8
user-40,2024-01-02T09:04:26,CCTV-11
user-9,2024-01-02T09:04:28,CCTV-5
user-15,2024-01-02T09:04:29,CCTV-10
user-32,2024-01-02T09:04:31,CCTV-9
user-7,2024-01-02T09:04:33,CCTV-15
